,TIMESTAMP,I_static_model_state_x,I_static_model_state_y,S_static_model_state_x,S_static_model_state_y,S_static_model_state_z,S_static_model_state_a,S_static_model_state_b,S_static_model_state_g,I_current_state_x,I_current_state_y,S_current_state_x,S_current_state_y,S_current_state_z,S_current_state_a,S_current_state_b,S_current_state_g,S_RC_STEER,S_RC_TLV_X,S_RC_TLV_Y,S_RC_TLV_Z,S_RC_TAV_X,S_RC_TAV_Y,S_RC_TAV_Z
119,3.95,48.94488490797862,976.8096994410162,-18.99445349645356,-19.02537305026603,0.33665333573404044,0.14116285311846438,-0.014727063312674286,0.017969243616285203,84.84911997990164,981.2757727286629,-17.52325557155525,-19.208373126442773,0.3456497656101164,0.1953214424753893,0.007357762726253361,-0.15248333266639946,0.0,0.4678808064477794,-0.038941682584871386,-0.003299483541883166,-0.08207064590815442,-0.05382238326345342,-0.0017629930622687594
120,3.98,48.94488490797862,976.8096994410162,-18.99445349645356,-19.02537305026603,0.33665333573404044,0.14116285311846438,-0.014727063312674286,0.017969243616285203,85.19868223530672,981.3163911631193,-17.50893204499231,-19.210037491561962,0.34567365887385815,0.19482703212397942,0.006970538006921686,-0.15220220438888946,0.0,0.4860485728969905,-0.06932145300011137,4.278867383605942e-05,0.012468018246984264,0.01069042707045899,0.017144602792592317
121,4.01,48.94488490797862,976.8096994410162,-18.99445349645356,-19.02537305026603,0.33665333573404044,0.14116285311846438,-0.014727063312674286,0.017969243616285203,85.55629632154019,981.372622520053,-17.494278589751524,-19.212341605699738,0.345630768226624,0.19508598207416608,0.0072254103975046245,-0.15167314650520206,0.0,0.4885265634400553,-0.0785421666342327,-0.0007778702905828699,0.00923007039807573,0.006243863477626042,0.017113590184624803
122,4.05,48.94488490797862,976.8096994410162,-18.99445349645356,-19.02537305026603,0.33665333573404044,0.14116285311846438,-0.014727063312674286,0.017969243616285203,85.98738694787087,981.4573110821693,-17.476614388477486,-19.215811771171815,0.3470974044155123,0.19724156851512417,0.002742847740047828,-0.15121883150263857,0.0,0.4282815771762954,-0.08379573269712966,0.033003102863334334,0.005289210309153504,-0.13592053427710493,-0.00041697122233823536
123,4.08,48.94488490797862,976.8096994410162,-18.99445349645356,-19.02537305026603,0.33665333573404044,0.14116285311846438,-0.014727063312674286,0.017969243616285203,86.29464327445672,981.5115011287065,-17.464024373144213,-19.218032241371393,0.34803017465415814,0.19705224666364937,-0.002124558702670524,-0.1514528934073317,0.0,0.41634953177241313,-0.06839798901935315,0.03071669664959931,-0.04825883436183933,-0.17064166487946286,-0.011423144401332241
124,4.11,48.94488490797862,976.8096994410162,-18.99445349645356,-19.02537305026603,0.33665333573404044,0.14116285311846438,-0.014727063312674286,0.017969243616285203,86.6442963713201,981.5529662802123,-17.449697124297128,-19.219731301237974,0.34601560211713994,0.19396025874372777,0.004727917986138922,-0.15184551955547027,0.0,0.5356654418478388,-0.08843598087663326,-0.07240249427414774,0.30616372546683984,0.6023962387295224,0.03421316120372636
125,4.15,48.94488490797862,976.8096994410162,-18.99445349645356,-19.02537305026603,0.33665333573404044,0.14116285311846438,-0.014727063312674286,0.017969243616285203,87.1184621779869,981.6386853430901,-17.430267891243464,-19.2232436921071,0.3482011064675005,0.20277516988382782,-0.0012028637064981581,-0.14981854635412653,0.0,0.504473066032925,-0.02876375820431834,0.3356383278599245,-0.5193609287564865,0.4343737005521879,-0.03133190109150637
126,4.18,48.94488490797862,976.8096994410162,-18.99445349645356,-19.02537305026603,0.33665333573404044,0.14116285311846438,-0.014727063312674286,0.017969243616285203,87.48353444359643,981.6657424355625,-17.415308832555073,-19.224352372969392,0.35236540375533626,0.19396995626711688,0.0028191699578325635,-0.14941402590696046,0.0,0.4900297907912778,-0.044578930952668475,0.04329163500813218,-0.1460360205582634,0.03025831844291796,0.022831313932838212
127,4.21,48.94488490797862,976.8096994410162,-18.99445349645356,-19.02537305026603,0.33665333573404044,0.14116285311846438,-0.014727063312674286,0.017969243616285203,87.8136054458847,981.7195403722927,-17.401783971973504,-19.22655677623053,0.34830946595152323,0.19833095613895546,-0.005340550403269047,-0.1491662363226167,0.0,0.42780491392419273,-0.08976228830952733,-0.22256445066378952,0.22063497137661822,-0.45493396235685907,-0.013083935267610425
128,4.25,48.94488490797862,976.8096994410162,-18.99445349645356,-19.02537305026603,0.33665333573404044,0.14116285311846438,-0.014727063312674286,0.017969243616285203,88.26274954578027,981.7665030663974,-17.38338001861193,-19.228481101257255,0.34866916755776256,0.19457268849392215,-0.007334313636134421,-0.15011512608526348,0.0,0.4717568522179797,-0.058092815162111,0.004990810797424315,-0.00014034203483368894,-0.0013850072182271622,-0.008217188805285958
